lokasi_halte,tahun_pembuatan,,,,,,,,
Jl. TB. Simatupang/Ranco (T-B) SeberangYayasan Sekolah Kharismawita Jakarta Timur,2013,,,,,,,,
Jl. Raya Bogor (U-S) depan Jembatan Timbang Cibubur (Dishub) Jaktim,2013,,,,,,,,
Jl. Raya Bogor (U-S) Seberang Bengkel Honda Jaktim,2013,,,,,,,,
Jl. Raya Pulo Gebang (T-B) depan Masjid As Asulfalah Jakarta Timur,2013,,,,,,,,
Jl. Daan Mogot (T-B) dekat jembatan/Halte Busway Sumur Bor Jakbar,2013,,,,,,,,
Jl. Daan Mogot (B-T) dekat Supreme Cable Kalideres Jakbar,2013,,,,,,,,
Jl. Satu Maret (T-B) depan SMA Negeri 95 Kalideres Jakbar,2013,,,,,,,,
Jl. TB. Simatupang (T-B) depan gedung ACC Finance Jaksel,2013,,,,,,,,
Jl. Raya Bogor (S-U) dekat SMAN 88 Kel.Baru/seberang GOR Ciracas Jaktim,2013,,,,,,,,
Jl. Persahabatan Utara (T-B) depan RSU.Persahabatan Jaktim,2013,,,,,,,,
Jl. Perintis Kemerdekaan (B-T) depan Halte Busway BERNIS Pulogadung Jaktim,2013,,,,,,,,
Jl. Bekasi Raya (B-T) Lampu Merah AURI Pulogebang/depan GIANT Jaktim,2013,,,,,,,,
Jl. Sunter Jaya Satu (U-S) depan PT.Jaya Makmur Eka Lestari/Gudang Paralon Jakut,2013,,,,,,,,
Jl. Sunter Agung Utara (S-U) dekat JPO/Halte Busway SMPN 140 Jakut,2013,,,,,,,,
Jl. Danau Sunter Barat (S-U) depan Ruko Griya Agung/Apartemen ICON Jakut,2013,,,,,,,,
Jl. Yos Sudarso (U-S) depan PT.Pesaka Loka Kirana/Gudang Container Jakut,2013,,,,,,,,
Jl. Pemuda Kavling 61 dpn Sekolah Tinggi Manajemen IMMI (B-T) Rawamangun Jaktim,2014,,,,,,,,
Jl. Pemuda Kavling depan GOR Balap Sepeda (B-T) Rawamangun jaktim,2014,,,,,,,,
Jl. Percetakan Negara II (U-S) depan SMPN 76 Johar Baru Jakarta Pusat,2014,,,,,,,,
Jl. Pramuka dpn Taman Genjing (B-T) halte busway Pasar Genjing Jaktim,2014,,,,,,,,
