no_body,no_regristasi,nama_pemilik,alamat,wilayah,jenis_kendaraan,merk_type,jenis_model,tahun,isi_silinder,no_rangka,no_mesin,keterangan
117,B 7111 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13929,W04DTNJ83929,
118,B 7112 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13923,W04DTNJ83923,
119,B 7113 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13915,W04DTNJ83915,
120,B 7114 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13932,W04DTNJ83932,
121,B 7115 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13930,W04DTNJ83930,
122,B 7116 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13933,W04DTNJ83933,
123,B 7117 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13914,W04DTNJ83914,
124,B 7118 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13919,W04DTNJ83919,
125,B 7119 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE14012,W04DTNJ84012,
126,B 7120 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE14039,W04DTNJ84039,
127,B 7121 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13952,W04DTNJ83952,
128,B 7122 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13931,W04DTNJ83931,
129,B 7123 TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,SEDANG,HINO,Micro/Minibus,2014,4009,MJEFB2WGLEJE13921,W04DTNJ83921,
Z 31,B 7028.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016536,W04DTPJ41625,
Z 32,B 7029.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016313,W04DTPJ41396,
Z 33,B 7030.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016312,W04DTPJ41397,
Z 34,B 7031.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016178,W04DTPJ40772,
Z 35,B 7032.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016217,W04DTPJ40966,
Z 36,B 7033.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016216,W04DTPJ40965,
Z 37,B 7034.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016535,W04DTPJ41624,
Z 38,B 7035.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016311,W04DTPJ41395,
Z 39,B 7036.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016179,W04DTPJ40773,
Z 40,B 7037.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016314,W04DTPJ41398,
Z 41,B 7043.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016215,W04DTPJ40964,
Z 42,B 7044.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016310,W04DTPJ41394,
Z 43,B 7045.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016177,W04DTPJ40771,
Z 44,B 7046.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016176,W04DTPJ40770,
Z 45,B 7050.TPA,UPAS DISHUB DKI JAKARTA,"Jl. Raya Pondok Gede No. 1, Dukuh",Jakarta Timur,KECIL,HINO,Micro/Minibus,2013,4009,MJEC1JGX1D5016218,W04DTPJ40967,
