rute,nama_rute,bulan,jumlah
Rute 11,Pendok Gede - Condet - Rancho,2014-05,4253
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-05,3681
Rute 13,Terminal Kalideres - Kamal,2014-05,1423
Rute 14,Terminal Kalideres - Duri Kosambi,2014-05,2390
Rute 15,Blok M - Ciledug,2014-05,2092
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-05,4146
Rute 17,Cawang - Ragunan,2014-05,4536
Rute 18,Blok M - Pondok Labu,2014-05,4453
Rute 19,Kalideres - Gajahmada,2014-05,4056
Rute 20,Pulogadung - Cikini,2014-05,1864
Rute 1,Lapangan Banteng  -  Perintis ,2014-06,1931
Rute 2,Pelumpang - Sunter - Kemayoran,2014-06,1634
Rute 3,TMII - Gandaria,2014-06,3448
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-06,2996
Rute 5,TMII - Terminal Kampung Melayu,2014-06,3644
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-06,1989
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-06,2862
Rute 8,Terminal Pasar Minggu - Manggarai,2014-06,1354
Rute 9,Cawang - PGC - Plumpang,2014-06,1677
Rute 10,Cilincing - Perintis ,2014-06,541
Rute 11,Pendok Gede - Condet - Rancho,2014-06,1548
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-06,688
Rute 13,Terminal Kalideres - Kamal,2014-06,589
Rute 14,Terminal Kalideres - Duri Kosambi,2014-06,705
Rute 15,Blok M - Ciledug,2014-06,1016
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-06,1782
Rute 17,Cawang - Ragunan,2014-06,1544
Rute 18,Blok M - Pondok Labu,2014-06,716
Rute 19,Kalideres - Gajahmada,2014-06,1476
Rute 20,Pulogadung - Cikini,2014-06,299
Rute 1,Lapangan Banteng  -  Perintis ,2014-07,0
Rute 2,Pelumpang - Sunter - Kemayoran,2014-07,0
Rute 3,TMII - Gandaria,2014-07,0
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-07,0
Rute 5,TMII - Terminal Kampung Melayu,2014-07,0
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-07,0
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-07,0
Rute 8,Terminal Pasar Minggu - Manggarai,2014-07,0
Rute 9,Cawang - PGC - Plumpang,2014-07,0
Rute 10,Cilincing - Perintis ,2014-07,0
Rute 11,Pendok Gede - Condet - Rancho,2014-07,0
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-07,0
Rute 13,Terminal Kalideres - Kamal,2014-07,0
Rute 14,Terminal Kalideres - Duri Kosambi,2014-07,0
Rute 15,Blok M - Ciledug,2014-07,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-07,0
Rute 17,Cawang - Ragunan,2014-07,0
Rute 18,Blok M - Pondok Labu,2014-07,0
Rute 19,Kalideres - Gajahmada,2014-07,0
Rute 20,Pulogadung - Cikini,2014-07,0
Rute 1,Lapangan Banteng  -  Perintis ,2014-08,484
Rute 2,Pelumpang - Sunter - Kemayoran,2014-08,0
Rute 3,TMII - Gandaria,2014-08,2530
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-08,0
Rute 5,TMII - Terminal Kampung Melayu,2014-08,1702
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-08,0
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-08,950
Rute 8,Terminal Pasar Minggu - Manggarai,2014-08,0
Rute 9,Cawang - PGC - Plumpang,2014-08,0
Rute 10,Cilincing - Perintis ,2014-08,0
Rute 11,Pendok Gede - Condet - Rancho,2014-08,2385
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-08,1484
Rute 13,Terminal Kalideres - Kamal,2014-08,1243
Rute 14,Terminal Kalideres - Duri Kosambi,2014-08,1445
Rute 15,Blok M - Ciledug,2014-08,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-08,796
Rute 17,Cawang - Ragunan,2014-08,1129
Rute 18,Blok M - Pondok Labu,2014-08,0
Rute 19,Kalideres - Gajahmada,2014-08,1386
Rute 20,Pulogadung - Cikini,2014-08,1013
Rute 1,Lapangan Banteng  -  Perintis ,2014-09,12563
Rute 2,Pelumpang - Sunter - Kemayoran,2014-09,8687
Rute 3,TMII - Gandaria,2014-09,21982
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-09,12469
Rute 5,TMII - Terminal Kampung Melayu,2014-09,17709
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-09,1708
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-09,18635
Rute 8,Terminal Pasar Minggu - Manggarai,2014-09,6726
Rute 9,Cawang - PGC - Plumpang,2014-09,5983
Rute 10,Cilincing - Perintis ,2014-09,0
Rute 11,Pendok Gede - Condet - Rancho,2014-09,22046
Rute 12,Terminal Kampung Melayu - Terminal Rawamangun,2014-09,17355
Rute 13,Terminal Kalideres - Kamal,2014-09,13466
Rute 14,Terminal Kalideres - Duri Kosambi,2014-09,14992
Rute 15,Blok M - Ciledug,2014-09,0
Rute 16,Lapangan Banteng  -  Terminal Kampung Melayu,2014-09,8344
Rute 17,Cawang - Ragunan,2014-09,11105
Rute 18,Blok M - Pondok Labu,2014-09,0
Rute 19,Kalideres - Gajahmada,2014-09,14865
Rute 20,Pulogadung - Cikini,2014-09,13173
Rute 1,Lapangan Banteng  -  Perintis ,2014-10,18675
Rute 2,Pelumpang - Sunter - Kemayoran,2014-10,12902
Rute 3,TMII - Gandaria,2014-10,24242
Rute 4,Pondok Kopi -  Perintis Kemerdekaan,2014-10,16913
Rute 5,TMII - Terminal Kampung Melayu,2014-10,22033
Rute 6,Terminal Pasar Minggu - Kebayoran,2014-10,8515
Rute 7,Terminal Pasar Minggu - Universitas Indonesia,2014-10,19226
Rute 8,Terminal Pasar Minggu - Manggarai,2014-10,6100
Rute 9,Cawang - PGC - Plumpang,2014-10,8175
Rute 10,Cilincing - Perintis ,2014-10,0
Rute 11,Pendok Gede - Condet - Rancho,2014-10,26670
